date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-09-23_00.00.00	0.1131699	32.40729	2.4403709576091184		0.000951199928201753	278.745347625428	61.677424565117605	-5.469049080637262
2021-09-23_01.00.00	0.09294788	27.695	1.9923071170012265		0.0021280001196637447	278.9575703439035	62.36751598972382	-5.704757739658305
2021-09-23_02.00.00	0.07196675	22.67121	1.5233125916175547		0.0038041792562898253	279.4374720857526	53.268612258256525	-5.08943409275679
2021-09-23_03.00.00	0.05971389	19.64415	1.2422789960211804		0.004367998923026296	278.9033794848891	41.91414356228492	-4.454331464501365
2021-09-23_04.00.00	0.04995195	17.17055	1.0207473000867562		0.003494160409250007	280.18378740509155	33.16611620593656	-4.07380782942073
2021-09-23_05.00.00	0.04648971	16.25592	0.9457965118018368		0.0027556998833278487	281.7086124758076	27.719147152268757	-3.887579457806737
2021-09-23_06.00.00	0.04350547	15.46676	0.8764325246058574		0.004748499715798606	282.2208203066845	22.830723991184716	-3.6678343219616067
2021-09-23_07.00.00	0.03990421	14.54627	0.7839949741227151		0.006093998863194424	283.5235596248325	18.52780511827113	-3.5249878377269965
2021-09-23_08.00.00	0.03769468	13.9929	0.7219657761689651		0.009844760223771202	286.12598630340926	16.631016629319674	-3.5060639547515393
2021-09-23_09.00.00	0.03765949	13.974	0.7229135130283901		0.008091940646782541	288.2677162423701	16.277110622981038	-3.609899688840926
2021-09-23_10.00.00	0.03537762	13.38639	0.6626702964669279		0.010740195051904149	287.41186541610836	13.545102450516238	-3.3908627300705803
2021-09-23_11.00.00	0.03309385	12.79497	0.6067514284859545		0.0037061806324228917	287.52382015780853	10.40378474709504	-3.005472432442957
2021-09-23_12.00.00	0.03218477	12.54863	0.5835878182307714		0.0022827211535585007	287.3870031263957	8.274544497553347	-2.678641021936471
2021-09-23_13.00.00	0.0312029	12.32164	0.551170311424896		4.7639991623537856e-05	284.9604362066399	7.908361261392768	-2.183400494619775
2021-09-23_14.00.00	0.03094515	12.28314	0.5402471056331708			284.0294774452881	6.25175912582911	-0.9182800594953164
2021-09-23_15.00.00	0.03241813	12.71304	0.5717210638106919			283.77348518683937	7.601409583536248	-0.35995349295802725
2021-09-23_16.00.00	0.03688735	13.91772	0.6822951506267388			283.2766115825517	11.314937025546275	-0.48438270818627416
2021-09-23_17.00.00	0.04966973	17.24303	1.0010506476800192			283.1668527616495	15.276325891030872	-0.28624043098977836
2021-09-23_18.00.00	0.06014765	19.89805	1.258372273910312			283.5930847104362	18.272812975508938	-0.36169592200104717
2021-09-23_19.00.00	0.06210729	20.39336	1.3055126095671163			280.93408515706415	18.889022973518976	-0.4682166162693875
2021-09-23_20.00.00	0.06786402	21.80439	1.4465306488766565			280.1952508560369	19.65740543947121	-0.5938124926772161
2021-09-23_21.00.00	0.0689877	22.08218	1.4707529841146378			279.8345615602203	20.682498042734885	-0.8255463154434892
2021-09-23_22.00.00	0.06874769	22.01647	1.4595928441080563			280.8330728003573	21.75730568617691	-1.1853851935312605
2021-09-23_23.00.00	0.05479987	18.54902	1.115459060041284			283.0368095876135	20.92860941843945	-1.7132864653907518
2021-09-24_00.00.00	0.0435351	15.67358	0.8367280940557034			285.36720262021737	19.530441451142973	-2.0972480561592306
2021-09-24_01.00.00	0.03501425	13.4527	0.6262368743829838			286.71788000595507	17.743706260411432	-2.2134716597969373
2021-09-24_02.00.00	0.03099273	12.37948	0.5276919855206869			286.37754950126543	12.958592183580192	-1.7490716095089738
2021-09-24_03.00.00	0.02899406	11.8377	0.47809555150028415			283.42775792764627	9.963233550568589	-1.6149934965000625
2021-09-24_04.00.00	0.02955949	11.98751	0.4911592425284949			280.90282119994043	10.584045644084844	-1.7707911673117565
2021-09-24_05.00.00	0.02760864	11.4549	0.44454243575552693			281.33891618281973	8.165130797127333	-1.633309989504994
2021-09-24_06.00.00	0.02584783	10.97189	0.40016154605558374			281.21475361024267	5.945703838047007	-1.5056183891321666
2021-09-24_07.00.00	0.02636934	11.09931	0.4151811409938074			281.7024341223761	5.189727069114612	-1.5011030764512725
2021-09-24_08.00.00	0.02646818	11.13074	0.4150740419421426			282.7682000893256	4.761221190624957	-1.4849014222900792
2021-09-24_09.00.00	0.02690765	11.24472	0.42639423220749695			283.17939556349563	4.503773057386626	-1.474041709608457
2021-09-24_10.00.00	0.02738539	11.37248	0.43915637059861784			280.82041834152153	4.157259539776752	-1.4010628952287902
2021-09-24_11.00.00	0.02755977	11.41889	0.4438029138121878			279.4010346881048	4.049814824920245	-1.3558523010107137
2021-09-24_12.00.00	0.02815679	11.57991	0.45843479821701016			278.7296039898764	4.145474194158263	-1.2224618241032204
2021-09-24_13.00.00	0.02978558	12.01225	0.501878421635205			279.0141059997022	4.745238165660406	-1.0121291138971742
2021-09-24_14.00.00	0.03082597	12.30221	0.5274314177162174			280.98861098704776	4.79060779434573	-0.40880967403188606
2021-09-24_15.00.00	0.0315134	12.49054	0.5451320788584079			282.7370477891916	5.5548295840007835	-0.28291910470426274
2021-09-24_16.00.00	0.03665993	13.83634	0.6797920842432763			284.9610317105851	6.8434910402460325	-0.13982242060865246
2021-09-24_17.00.00	0.04681297	16.44681	0.9415170371256768			285.985521810332	8.921495209419424	-0.07033713750217885
2021-09-24_18.00.00	0.05573322	18.70782	1.165241272025608			285.7763510495757	11.188784539185313	-0.09864042455564004
2021-09-24_19.00.00	0.06153669	20.15136	1.3110195351063512			284.50655054339734	12.06682390646241	-0.02427313123814656
2021-09-24_20.00.00	0.071923	22.68104	1.5723322463876506			284.5697111805866	13.495614075254364	-0.068294977825758
2021-09-24_21.00.00	0.07771994	24.08784	1.7091883806503725			284.8606892958166	14.863539089895356	-0.23901216731547947
2021-09-24_22.00.00	0.07944175	24.54133	1.7381431178388727			284.9055381866905	18.97027739425094	-0.8290590665077957
2021-09-24_23.00.00	0.07307118	23.0128	1.5705722918598737			285.7619100789043	22.176066440718262	-2.0755178061078823
2021-09-25_00.00.00	0.06869476	21.92742	1.4653585424955875			286.48421914545185	23.50942157586847	-2.8061528792100603
2021-09-25_01.00.00	0.06082383	19.98682	1.2670517844855953			287.1416555009677	24.055963046012675	-3.1793141856309717
2021-09-25_02.00.00	0.04842598	16.87743	0.9663140574984295			285.714902486229	20.33482542298182	-3.141023149425564
2021-09-25_03.00.00	0.0433161	15.56249	0.8456888144314476			285.7453848444246	13.074401031734624	-2.7244416727140788
2021-09-25_04.00.00	0.0433398	15.57328	0.8446929129147096			286.30865713860356	12.539941841211734	-2.664747687225031
2021-09-25_05.00.00	0.04432189	15.81166	0.8738430011667214			285.6541238648206	12.408451680769959	-2.576535473857348
2021-09-25_06.00.00	0.04680155	16.43515	0.9345388458431806			286.46631680809884	13.460068284057794	-2.7811249622159266
2021-09-25_07.00.00	0.04833134	16.81653	0.9772734615729799			287.0270954295072	13.803435845748805	-2.7803977878292585
2021-09-25_08.00.00	0.04939383	17.08467	1.0028234660603703			287.45876135179395	14.620925001796152	-2.863185176986917
