date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-09-12_12.00.00	0.07667813	23.55187	1.6988784515511413		0.0008127899602118048	279.33203066845317	8.40991246741953	-5.548997452736899
2021-09-12_13.00.00	0.08136163	24.69227	1.8068130553145658		0.01291199928201753	279.44320381122526	9.255202161900815	-4.994868496019251
2021-09-12_14.00.00	0.08202027	24.93251	1.8189831573279085		0.010419998803362552	278.7257704332291	14.628859823501134	-4.481626731755227
2021-09-12_15.00.00	0.0821514	25.0015	1.810040685673258		0.011618009393603973	280.07213041536403	20.278387003440347	-4.326283777942081
2021-09-12_16.00.00	0.0803457	24.56059	1.7720624046429532		0.008038082986807072	283.8085827006104	21.848862857325987	-4.3362871877477005
2021-09-12_17.00.00	0.07508246	23.31733	1.637496036138451		0.016675789032817783	284.1444469257109	23.016433094881545	-4.361755690335713
2021-09-12_18.00.00	0.07641412	23.57496	1.6975406108834175		0.018890349118975677	282.1462334375465	23.175706292529696	-4.439347651559672
2021-09-12_19.00.00	0.07120357	22.37357	1.5552433661411433		0.0073664193615939205	280.99679916629447	23.42969817543257	-4.541091103753274
2021-09-12_20.00.00	0.07466751	23.18024	1.6370897777245939		0.020726334998653784	280.1362587464642	25.142608150818965	-4.646764572450195
2021-09-12_21.00.00	0.08116621	24.69462	1.7977326711939448		0.028684724922966465	278.2334747655203	27.74984660924166	-4.950952361580278
2021-09-12_22.00.00	0.07888118	24.14394	1.7440901067998922		0.025628300475663383	280.3482209319637	29.43455512985973	-5.610570970533047
2021-09-12_23.00.00	0.079353	24.22414	1.7649950638705239		0.013361285786938702	280.99344945660266	30.676399697892087	-6.1207705220000435
2021-09-13_00.00.00	0.06901138	21.77571	1.500838842851587		0.019980010171418313	281.7021363704035	31.18026485194292	-6.013107835243318
2021-09-13_01.00.00	0.05899416	19.35166	1.2555407305471624		0.009559000209411554	280.9072130415364	29.49334073426645	-5.803950793398201
2021-09-13_02.00.00	0.05397364	18.11489	1.1255254734196907		0.0074043049032219465	278.9739467023969	28.29769888090457	-5.793432029194207
2021-09-13_03.00.00	0.04874085	16.81455	0.992339127052981		0.004270347324019505	279.80936429953846	27.66448019520945	-5.858234165817919
2021-09-13_04.00.00	0.04492901	15.83775	0.9056487270769138		0.0041686480988422535	280.5112773559625	25.933045545101642	-5.658412790881755
2021-09-13_05.00.00	0.04408193	15.59192	0.8952382804319862		0.0017345600861578961	280.16622003870776	25.341632372155445	-5.89758291100452
2021-09-13_06.00.00	0.04443866	15.64563	0.9146869297274658		0.0030405001944535854	280.36258746464193	24.578549231510564	-6.09527412006446
2021-09-13_07.00.00	0.04468141	15.68907	0.9210593233015226		0.005048999311933467	281.33958612475806	24.407046891950586	-6.3795494412487415
2021-09-13_08.00.00	0.04599456	15.97998	0.9642687049391211		0.004304983994974122	282.84073991365193	24.708443400736204	-6.676387213714634
2021-09-13_09.00.00	0.04569526	15.89958	0.9582253866634756		0.0033714990875639453	283.46583296114335	24.110685741267048	-6.787637398648428
2021-09-13_10.00.00	0.04465189	15.64908	0.921556227002124		0.008610249199748706	284.4826559475957	25.666356375118397	-7.005570792316121
2021-09-13_11.00.00	0.04524305	15.83081	0.9280228557752714		0.0029516800789780714	284.8817924668751	27.517070476030717	-6.94147220900328
2021-09-13_12.00.00	0.04622033	16.10829	0.9437119693660814		0.000622535076435217	285.62922435611137	30.50753202668656	-6.961800539903493
2021-09-13_13.00.00	0.04796051	16.55992	0.9872297843060999		4.07910072695725e-05	287.41406133690634	29.634867439071186	-6.532420403276717
2021-09-13_14.00.00	0.05145366	17.45338	1.075152720854399		0.0004680366171059323	286.84729045704927	29.99591737559642	-6.0009105975502735
2021-09-13_15.00.00	0.06467335	20.73091	1.3946866305681036		0.00037616896520776616	285.94826559475956	32.536828651801436	-5.752003309976089
2021-09-13_16.00.00	0.07934166	24.27148	1.748411164627397		0.0003010201334250755	286.02475063272294	33.85859913441584	-5.336373943292983
2021-09-13_17.00.00	0.09739936	28.47896	2.182818679510575		0.0011950848116791815	286.250967693911	33.313316501359004	-4.864013144437365
2021-09-13_18.00.00	0.09560945	28.01532	2.1552852484518503		0.0033657492446226103	285.64586124758074	28.34498462058057	-4.212364357912747
2021-09-13_19.00.00	0.1002976	29.14493	2.257466718520956		0.0036704490382026504	287.4658701801399	33.70515386821106	-4.60812677706366
2021-09-13_20.00.00	0.1018475	29.49695	2.273775091991504		0.004838783019714602	287.6923849933006	41.24735296394881	-5.469288852713248
2021-09-13_21.00.00	0.1086703	31.05441	2.3871086247644118		0.015578068627157686	287.79581658478486	50.66185275679353	-6.638818417507196
2021-09-13_22.00.00	0.1103216	31.37587	2.418674424866126		0.008025500344033267	286.1907845764478	59.718698114602915	-7.7520698482884995
2021-09-13_23.00.00	0.106491	30.51878	2.3005704969037004		0.0031241002782182066	288.52597885960995	67.09155748614785	-8.515059096211246
2021-09-14_00.00.00	0.08900926	26.47761	1.9080049062135398		0.002436180034104167	289.64820604436505	69.7174385740133	-8.857585296367745
2021-09-14_01.00.00	0.06978763	21.91533	1.4869802853980314		0.0007699000807730277	290.06096471639125	57.65418815093816	-7.963544096759335
2021-09-14_02.00.00	0.05471105	18.23097	1.134657612109971		0.00026881879917432013	288.61742593419683	47.118574437872375	-7.449612279241592
2021-09-14_03.00.00	0.04767895	16.47567	0.9702937744936727		5.722900649175816e-05	289.4888343010272	37.13798603378515	-7.2286356477951585
2021-09-14_04.00.00	0.0431812	15.34958	0.8577957938193675		3.647599246118407e-05	288.8568185201727	29.306998622787226	-7.130882152940558
2021-09-14_05.00.00	0.04127571	14.87054	0.808649295479702		7.341998982858168e-07	286.9189370254578	25.777533107009504	-7.227485384579495
2021-09-14_06.00.00	0.04156	14.93162	0.8229461213988691		7.518000418823107e-07	284.7031040643144	22.978135824003967	-7.321969340343685
2021-09-14_07.00.00	0.04061124	14.6813	0.8027723098094354		9.473659018158972e-05	283.1804749143963	19.942327876338865	-7.384005321595737
2021-09-14_08.00.00	0.04443736	15.58478	0.923658718999611		0.0010914260926795703	282.4352761649546	19.456183459250717	-7.510126023453097
2021-09-14_09.00.00	0.04546863	15.83648	0.9552903341610076		0.00021217001226553385	283.4660934941194	19.098313094682215	-7.572718711798018
2021-09-14_10.00.00	0.0460106	15.94113	0.9849124958865587		0.0004990899572202112	284.1376730683341	16.1652947959336	-7.2993228564541255
2021-09-14_11.00.00	0.04430554	15.53468	0.9366248840757471		0.0023524501151763544	285.2312416257258	14.401893951551617	-7.171404684633217
2021-09-14_12.00.00	0.04260822	15.12892	0.8871977742543452		0.0020095201483830436	286.96505136221526	13.78071218694621	-7.068204285173181
2021-09-14_13.00.00	0.04211934	15.00528	0.8808645705567356		0.0017954599575193706	290.3267455709394	11.69792245649582	-6.307980377176534
2021-09-14_14.00.00	0.0424206	15.106	0.8850764352170402		0.0020766039429203935	291.1197707309811	12.546560102106788	-5.742541479407237
2021-09-14_15.00.00	0.04947187	16.91677	1.0541900260268644		0.001599081879917432	291.53848444245943	18.708658999575572	-5.529264726053555
2021-09-14_16.00.00	0.06096041	19.79942	1.3314557094564274		0.000159401202620636	289.6615304451392	24.50324876707307	-5.367734570535617
2021-09-14_17.00.00	0.07330199	22.82184	1.6297047297095162		0.0001552839919825291	288.78848444245943	29.824274990466087	-5.1178542169433285
2021-09-14_18.00.00	0.08533207	25.71538	1.9140284799712808		0.00025101441948125765	287.8514217656692	33.24871673877292	-4.72907297010687
2021-09-14_19.00.00	0.08951123	26.63289	2.0240808328596644		0.00404362042660125	288.0544141729939	32.74345115798545	-4.5761380923076445
2021-09-14_20.00.00	0.108342	30.93225	2.4562955096179735		0.003677260896879768	290.05705672175077	37.566760516026655	-4.931700039107795
2021-09-14_21.00.00	0.1037197	29.89022	2.321158045891046		0.002117694079636222	289.9998883430103	43.05547383726744	-5.668050368150659
2021-09-14_22.00.00	0.1027823	29.63806	2.2880210608190983		0.004315993059502797	290.48868542504096	49.69226993500215	-6.579663685538776
2021-09-14_23.00.00	0.08986798	26.60772	1.9964711161635804		0.0031343225536243154	290.42128182224207	55.74900333832874	-7.457298860025787
2021-09-15_00.00.00	0.07642326	23.41011	1.6917219612887786		0.0024420300954318365	290.05046895935686	56.5854052927599	-7.747756437083524
2021-09-15_01.00.00	0.06716877	21.19308	1.4830840338648397		0.002622133903730517	289.9732023224654	45.68653037418708	-7.099184062825543
2021-09-15_02.00.00	0.06288959	20.17743	1.3795204475424059		0.0012466087294701886	290.9809066547566	42.54297652892788	-6.949353778014597
2021-09-15_03.00.00	0.05848198	19.09241	1.2801624435336703		0.0011966383462470457	291.7923924370999	36.78643826110293	-6.7298064299055795
2021-09-15_04.00.00	0.05528511	18.25941	1.2159906662278994		0.002676959942561402	291.6987122227185	27.968058653960167	-6.498386541353511
2021-09-15_05.00.00	0.05411653	17.95105	1.1935677745535047		0.002331424297723397	291.30955039452135	25.690991787217907	-6.7118854269918415
2021-09-15_06.00.00	0.05421759	17.96214	1.1947195380979447		0.0030967391629521043	289.90315617090965	27.223193231945746	-7.195588031404043
2021-09-15_07.00.00	0.05406085	17.90368	1.1937293206090884		0.003374846680826876	289.86664433526875	25.39192945433122	-7.39348176908851
