date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-09-07_00.00.00	0.5781059	123.547	11.82713973733808		0.003763592305621204	288.47658925115377	37.431494397674676	14.433376426657787
2021-09-07_01.00.00	0.5849723	124.6071	11.92301432973345		0.011819020552248182	286.926380824773	38.02342218543637	14.347600700457406
2021-09-07_02.00.00	0.5990204	126.6722	12.155060280611481		0.01590258473688934	288.02456453774005	38.384805880939446	14.141123535637007
2021-09-07_03.00.00	0.6138192	128.7717	12.271143087922935	0.003197989649086068	0.010482466269781913	289.7711031710585	39.42530393256473	14.003984056907825
2021-09-07_04.00.00	0.6266593	130.5867	12.575274478714812	0.0005666299697849044	0.029379591348311244	291.7877400625279	40.421244207824685	13.971550978805283
2021-09-07_05.00.00	0.6537183	134.2874	13.04531666018488	0.0006307700361982828	0.14175205672061506	292.4446181330951	37.566528410890065	14.329343568173272
2021-09-07_06.00.00	0.5908483	125.4894	11.922598498220001	7.137999222185658e-05	0.0008843740090346127	291.673924370999	37.36794645176756	14.254800479973824
2021-09-07_07.00.00	0.5692238	122.2458	11.509034612738205		0.00023987698567026655	292.69923328867054	36.606592853266434	14.319243312909009
2021-09-07_08.00.00	0.550649	119.4948	11.138869775929637		7.945379483650941e-05	293.04276462706565	35.790726228318405	14.427914448308798
2021-09-07_09.00.00	0.5598265	121.0402	11.266165076136058		5.181598707631555e-05	293.8962334375465	35.782411220144475	14.509259833347585
2021-09-07_10.00.00	0.5644749	121.9742	11.283911209501301		0.00020697998623866933	297.1203662349263	37.68213377530122	14.55436788746249
2021-09-07_11.00.00	0.6011959	127.3622	12.026475603554013		0.0003868229275735184	298.7984219145452	38.79634442068751	14.451668209753848
2021-09-07_12.00.00	0.6002318	127.1833	12.012100996200676		0.00021766180034104167	299.8605032008337	36.73517017682585	14.702261025248731
2021-09-07_13.00.00	0.5866493	125.2097	11.752418703443324		0.00019510700930385616	300.01462706565434	35.69589978915395	14.865889186616585
2021-09-07_14.00.00	0.578986	124.04	11.65541628025249		0.00044299189278128456	299.00502456453773	35.1299034307755	15.04765008696205
2021-09-07_15.00.00	0.6267658	130.884	12.225895234391361	0.00831199928201753	0.006861620845424357	298.0099002530892	35.22709113736839	15.155978651325881
2021-09-07_16.00.00	0.6471054	133.6323	12.402073174379991	0.014414000658150596	0.016619161157148413	296.647945511389	35.230341861184776	15.215688185118779
2021-09-07_17.00.00	0.5864013	124.9844	11.889382834235796	3.854001256469321e-05	0.00223184910401771	296.89775941640613	35.01164570344163	15.066879284116965
2021-09-07_18.00.00	0.6028112	127.3098	12.147694977114309	0.0011574999252101593	0.0022993349687378466	298.90088581211853	36.68649722987035	14.776221934363832
2021-09-07_19.00.00	0.5880071	125.2043	11.8559906662279	0.0005337999222185658	0.0010682520118467107	298.9906580318595	39.03839186357741	14.464189669049006
2021-09-07_20.00.00	0.5614291	121.1614	11.36820833457983	0.00024459999401681273	0.0006697451162234122	296.8392139347923	37.83032683251149	14.561361648889942
2021-09-07_21.00.00	0.564616	121.5509	11.344194812576658	0.0024277999820504384	0.0018889849522840817	293.9984740211404	39.003608562907914	14.340612551354752
2021-09-07_22.00.00	0.5619491	120.8753	11.188569120770635	0.005969799862386693	0.0052266012504861336	295.0115378889385	38.0716769228103	14.187475618187818
2021-09-07_23.00.00	0.5353396	116.9044	10.869072905136566	0.00014781999581176892	0.001232299937176534	297.49289117165404	42.176495248670236	13.577157526493124
2021-09-08_00.00.00	0.5112967	113.1839	10.358536512400155		0.000971599904269004	299.32923924371	45.060255646407185	13.171938756409133
2021-09-08_01.00.00	0.4724613	106.8252	9.565539833069076		0.0007729999700840638	300.5716837874051	46.525886865324644	12.768492877352685
2021-09-08_02.00.00	0.422834	98.13683	8.624004547222306		0.001282399856403506	301.1198451689742	42.63784770771942	12.424944405001611
2021-09-08_03.00.00	0.393305	92.62908	8.084946300894485		0.001889600023932749	300.36426231948786	37.08805696684647	12.265352126925166
2021-09-08_04.00.00	0.394126	92.90062	8.048532623328446		0.0019689999102521913	300.89917373827603	41.27965440065857	11.943268850977063
2021-09-08_05.00.00	0.3722278	88.86118	7.628689382834235		0.0019697998623866932	300.5337576298943	42.53279166492717	11.870042072921535
2021-09-08_06.00.00	0.3389678	82.46907	7.03600981242708		0.001981809914141263	300.7984219145452	36.46841435882551	12.02770698530054
2021-09-08_07.00.00	0.3233076	79.40541	6.733966553983306		0.0017360998593950996	302.06115081137415	30.36892937048923	12.064790280140528
2021-09-08_08.00.00	0.3162665	78.04604	6.594402728333383		0.0013145998743530679	304.3177013547715	27.55259249712224	11.979060582552393
