date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-09-27_12.00.00	0.07857818	24.58356	1.6939058246327816			282.09256364448413	13.572840330257876	5.3507576539821
2021-09-27_13.00.00	0.07798364	24.40192	1.685070452029796			281.2814872711032	12.291585846978336	5.392717318978782
2021-09-27_14.00.00	0.07806148	24.38045	1.6961444341400662			280.5259044216168	11.1137935816296	5.4984618281042685
2021-09-27_15.00.00	0.07737889	24.17876	1.684863134591797			280.1889608456156	10.26005795834912	5.616623886022467
2021-09-27_16.00.00	0.07758983	24.20967	1.6937658180512758			276.22018758374276	9.53834924955229	5.787018295719861
2021-09-27_17.00.00	0.07772427	24.2301	1.6973288060549856			275.67749739467024	9.026938149742595	5.910895929679839
2021-09-27_18.00.00	0.07796711	24.27376	1.7055978699853411			276.76901890725026	8.508628856008023	6.094857211634462
2021-09-27_19.00.00	0.07754055	24.15083	1.6970616567445478			278.93088432335867	7.701061230623206	6.290641658108257
2021-09-27_20.00.00	0.07521427	23.57574	1.6374233404134382			283.71077117760905	6.926250224453096	6.3923863594596355
2021-09-27_21.00.00	0.07252926	22.93644	1.563209082478236			285.62446032454966	6.4220873381961106	6.4472225108592625
2021-09-27_22.00.00	0.07199442	22.82886	1.5463290154665388			284.1598928092899	6.911062791396401	6.408458296401761
2021-09-27_23.00.00	0.0723522	22.94055	1.551336943189637			283.78018460622303	7.378089144681365	6.437009016361117
2021-09-28_00.00.00	0.073778	23.30499	1.5858377957938192			284.0813979455114	7.262183238530279	6.527282968430882
2021-09-28_01.00.00	0.07619036	23.91004	1.6445328626559366			283.51362215274673	7.645568375786938	6.6266222011733475
2021-09-28_02.00.00	0.07747042	24.23755	1.674433541747689			283.3600193538782	7.788928545629143	6.663369378033735
2021-09-28_03.00.00	0.07868977	24.54463	1.7028602626619198			283.83701801399434	7.984244686841985	6.7516404460711215
2021-09-28_04.00.00	0.0791244	24.65627	1.7128234660603703			281.9350528509751	8.046780579301434	6.892501618647145
2021-09-28_05.00.00	0.07868412	24.54441	1.7014464355161993			280.1249813905017	7.849177146451542	6.939884451360967
2021-09-28_06.00.00	0.0784391	24.48241	1.695277171149071			280.51209617388713	7.678463677410233	7.033857486403292
2021-09-28_07.00.00	0.07728366	24.19316	1.6660699434588804			282.14820604436505	7.0900507537892326	7.111639906794096
2021-09-28_08.00.00	0.07649734	23.98592	1.6476303586920753			282.3928465088581	6.591247697970636	7.112484548021769
2021-09-28_09.00.00	0.07574283	23.77367	1.6313504053609358			283.6963302069376	6.18944863673577	6.999828791043683
2021-09-28_10.00.00	0.07474708	23.51335	1.6062772608968796			282.4630043174036	6.005477616426785	6.746138353400056
2021-09-28_11.00.00	0.0747042	23.4863	1.6065342387890027			281.2827899359833	5.807536815202883	6.5878906714794425
2021-09-28_12.00.00	0.07477079	23.47933	1.610368863493583			283.4683638529105	5.6842254584498635	6.49551418833579
2021-09-28_13.00.00	0.07537778	23.60393	1.6289927304274985			282.5689295816585	5.435632196455604	6.469513710691444
2021-09-28_14.00.00	0.07582979	23.69009	1.6436922248481767		5.310000897478087e-06	281.81662200387075	5.263555138714232	6.485245458926727
2021-09-28_15.00.00	0.07587979	23.67933	1.6463849582672687		1.061999880336255e-05	283.5164880154831	5.203288775662905	6.461189228393721
2021-09-28_16.00.00	0.07515837	23.49492	1.6285089897388336		5.310000897478087e-06	285.3181107637338	4.991344300200161	6.431137715547948
2021-09-28_17.00.00	0.07408643	23.23049	1.600765847967212			286.27873306535656	4.914820327660272	6.394888487028197
2021-09-28_18.00.00	0.07374308	23.15051	1.5906494749753193		2.6540000598318724e-05	286.52303855888044	5.337280605906834	6.43701020775319
2021-09-28_19.00.00	0.07320313	23.0447	1.572380710204326		2.2359999401681275e-05	287.9650141432187	6.3652507541344665	6.409344133259879
2021-09-28_20.00.00	0.07416979	23.3183	1.5919406467825412			288.43397350007444	8.300979921394347	6.292299338011958
2021-09-28_21.00.00	0.07459437	23.44307	1.5999874353067878			286.91729938960844	9.480557870324372	6.35025969883435
2021-09-28_22.00.00	0.07523189	23.61454	1.613168396804978			285.6416927199643	10.978336620611074	6.309127646191939
2021-09-28_23.00.00	0.07587926	23.79353	1.6221733927663267	3.677000628234661e-05		283.87781003424146	12.405044461967893	6.014303635892588
2021-09-29_00.00.00	0.07539764	23.68936	1.6098453346097465	9.080001196637449e-06		282.49545928241776	12.456432397834522	5.941609285000027
2021-09-29_01.00.00	0.07544593	23.72695	1.5894986089089655	0.0003167998923026296		281.6918639273485	12.664500698668519	5.902200427687433
2021-09-29_02.00.00	0.07583444	23.85195	1.586587489155473	0.0004478999012774105		281.6937248771773	13.769385384218445	5.826793509951358
2021-09-29_03.00.00	0.07388869	23.36736	1.5581296556675739	0.00012159999401681275		281.3008783683192	11.2697230451506	5.962365200654347
2021-09-29_04.00.00	0.07341327	23.25352	1.5518607712328356			281.4491216316808	10.665732034692759	5.868771368104888
2021-09-29_05.00.00	0.07367839	23.31337	1.5560962694827534			282.54276462706565	9.667392453125352	5.640017161650235
2021-09-29_06.00.00	0.07409799	23.41739	1.565407604630987			282.6872487717731	9.58248283207016	5.5521588138237234
2021-09-29_07.00.00	0.0734789	23.27153	1.5481452119544081			281.959282417746	9.261674916677142	5.444044322853415
