date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-09-06_12.00.00	0.04136553	13.91674	0.3735905106650313		0.0018879516558470697	187.5883206788745	100.0	-40.68318240006556
2021-09-06_13.00.00	0.04422823	14.57525	0.42796003230921115		0.004241604092500075	188.62635849337502	100.0	-39.43885166669989
2021-09-06_14.00.00	0.04821679	15.49762	0.49341161336644024		0.011957519370568702	188.93981688253686	100.0	-37.935371902709505
2021-09-06_15.00.00	0.04875314	15.6333	0.5024722529691567		0.013844051216082807	187.6604510942385	99.84324811085793	-36.21628962295648
2021-09-06_16.00.00	0.05075669	16.09996	0.5374822748077901		0.012620932180572591	184.71307875539677	99.41777488197776	-34.71823451234724
2021-09-06_17.00.00	0.05067281	16.08804	0.5351192150058336		0.011227265384270201	179.1228599076969	99.45446231377625	-33.57158206326636
2021-09-06_18.00.00	0.05004926	15.95134	0.52106440901068		0.009660424207975589	179.1521140390055	99.40818677111636	-32.90739433863524
2021-09-06_19.00.00	0.04942319	15.80249	0.5074819756484279		0.009763499566218924	180.13320678874499	99.15626057937035	-32.61252657296086
2021-09-06_20.00.00	0.04804683	15.47259	0.479861489215305		0.010777554073054715	179.7040717582254	99.21693348761579	-33.099638732771496
2021-09-06_21.00.00	0.04382829	14.4827	0.4057402698417447		0.013856361623837018	179.4653118951913	99.36302393757016	-33.9709762666175
2021-09-06_22.00.00	0.04215659	14.08843	0.37542316091782085		0.006938292398360606	180.38849188625875	99.3890883582792	-34.84600548958062
2021-09-06_23.00.00	0.03114172	11.49301	0.1819792084243276		0.0012949684386872886	183.19889831770135	99.95536420945552	-36.30832762280963
2021-09-07_00.00.00	0.03125833	11.50463	0.1862410326981183		0.001131517336285039	185.2603096620515	100.0	-38.06410869916411
2021-09-07_01.00.00	0.03351349	12.02275	0.22875857839471084		0.0011084814670775122	183.4631531933899	100.0	-38.83876191552872
2021-09-07_02.00.00	0.03315969	11.93642	0.2201999880336255		0.0011010530409549166	184.22774304004764	100.0	-39.37592988012858
2021-09-07_03.00.00	0.03232979	11.73639	0.20404843390073893		0.0010632372034582822	183.60800952806312	100.0	-39.934738073505144
2021-09-07_04.00.00	0.03125061	11.47985	0.18493589014868222		0.0008767768570317407	182.5882834598779	100.0	-40.300939826491316
